"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","86/216","259/737",0.0525083111963862,0.42006648957109,0.42006648957109,"1600014C10Rik/4933430I17Rik/9930104L06Rik/AA467197/Acadsb/Alg9/Angptl4/Arhgap30/Atp8a1/Bbs12/Bst2/Cacnb3/Casp3/Casp8/Ccna2/Cdipt/Chek2/Cirbp/Cndp2/Cox17/Cox5b/Dhx57/Eif2ak2/Eif3k/Elmo2/Enc1/Esco1/Evi2a/Eya3/Fnip1/Gadd45g/Gemin6/Gnas/Golga5/H2-K1/H2-T23/Hyou1/Ifi35/Ifih1/Igtp/Il18rap/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Kcnk10/Lrp11/Lrp12/Lss/Mgst3/Mrpl16/Mrps18c/Nampt/Ndufb5/Nedd9/Npc1/Nup133/Oasl1/Oasl2/Pcna/Pde6d/Pdss1/Pigf/Pml/Polg/Psmb9/Psmc4/Rwdd1/Seh1l/Slc1a4/Slc37a1/Slco3a1/Snupn/Snx1/Spag1/Stat2/Tap1/Tnfaip8l2/Tnfsf9/Trmu/Ttc27/Usp18/Zbp1/Zfp106",86,"Ind","linear model"
"Stat4","Stat4","139/216","459/737",0.253915799705052,0.999536280582654,0.999536280582654,"1600014C10Rik/1700113I22Rik/2310004I24Rik/4933430I17Rik/Abcd3/Acadsb/Aco2/Adam9/Adora2b/Agpat3/Agpat4/Alg9/Amica1/Angptl4/Apobec1/Arhgap1/Arhgap29/Arhgap30/Atn1/B9d2/Bbs12/BC046331/Bcl3/Bmpr1a/Brwd1/Ccdc28b/Cd226/Cd44/Cd70/Cdipt/Cirbp/Cndp2/Cobll1/Ctla4/Dab2ip/Ddr1/Dock11/Dyrk2/Eif3k/Eif4enif1/Elk3/Elmo2/Ets1/Eya3/Fgf2/Fgl2/Fnip1/Fut7/Gadd45g/Gimap1/Gnas/H2-D1/Hexb/Hopx/Ifi35/Ifih1/Igtp/Il17ra/Il18rap/Il21/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Itga6/Itih5/Kcnk10/Klhdc5/Klrk1/Lonrf3/Lrp11/Lss/Mdfic/Mmp14/Ms4a6b/Msh5/Mtap6/Myo1g/Nampt/Nav1/Nedd9/Nrn1/Nrp1/Pcna/Pdcd4/Pign/Pik3cg/Pitpnm2/Pkp3/Pla1a/Plekhm1/Pml/Polg/Ppt1/Prm1/Psmb9/Ralb/Rbm5/Rgs10/Rin3/Rpl7a/Scly/Seh1l/Selp/Sema4b/Serpina3f/Serpina3g/Slc16a6/Slc17a6/Slc37a1/Slco3a1/Snx25/Soat1/Sorl1/Spag1/St6gal1/Stat2/Stau2/Stk39/Sulf2/Tal2/Tap1/Tapbpl/Tcf7/Tgtp/Tmem120b/Tmem159/Tnfrsf10b/Trp53i11/Ube2l6/Ugcg/Wbp7/Wdr78/Xpo6/Zbp1/Zc3h12d/Zdhhc14",139,"Ind","linear model"
"Tbet_neg","Tbet_neg","15/216","55/737",0.685911447164397,0.999536280582654,0.999536280582654,"Ccdc109b/Ckmt1/Ctla4/H2-DMb1/Hsd17b11/Il21/Irs2/Nrn1/Pde6d/Phlda1/Ralb/Serf1/St6gal1/Tcf7/Trat1",15,"Ind","linear model"
"Tbet_pos","Tbet_pos","16/216","64/737",0.824853493465768,0.999536280582654,0.999536280582654,"AA467197/Amica1/Dyrk2/Hopx/Il18rap/Il24/Irf8/Klrk1/Lss/Mx1/Nedd9/Serpina3f/Spp1/Sulf2/Ugcg/Usp18",16,"Ind","linear model"
"Gata_Th1","Gata_Th1","7/216","34/737",0.913313363057856,0.999536280582654,0.999536280582654,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Tmem159/Usp18",7,"Ind","linear model"
"Tbet_large","Tbet_large","64/216","245/737",0.923817758170343,0.999536280582654,0.999536280582654,"Angptl4/Arhgap30/Bcl3/Brwd1/Cap1/Casp3/Casp8/Cbx7/Cd226/Ctla4/E4f1/Eed/Elmo2/Esco1/Ets1/Fgl2/Gimap1/Gnb2l1/Golga5/H2-K1/Hexb/Hopx/Igtp/Il10rb/Il17ra/Il21/Il2rb/Irf1/Irf8/Irs2/Klrk1/Lss/Nedd9/Nr1d2/Nrn1/Oasl2/Otx1/Pcmtd1/Pdcd4/Pik3cg/Pitpnm2/Polg/Prm1/Ralb/Rap1b/Rasl11b/Rbm5/Rwdd1/Slc17a6/Slco3a1/Snx1/Sorl1/Spag1/St6gal1/Stau2/Stk39/Sulf2/Tcf7/Tmem159/Trat1/Ttc27/Ugcg/Xpo6/Zc3h12d",64,"Ind","linear model"
"Stat6","Stat6","105/216","387/737",0.925852020657069,0.999536280582654,0.999536280582654,"2310004I24Rik/AA467197/Acadsb/Adam9/Adora2b/Agpat3/Agpat4/Amica1/Arcn1/Arfgap3/Arhgap1/Arhgap30/Atn1/B9d2/Bbs12/Bcl3/Brwd1/Cap1/Casp8/Cbx7/Ccdc109b/Ccnh/Cd96/Cirbp/Cndp2/Cobll1/Ctla4/Ddr1/Dhx57/E4f1/Eif3k/Elmo2/Ets1/Evi2a/Fnip1/Gadd45g/Gimap1/Golga5/H2-D1/H2-K1/Hmox1/Hyou1/Ifi35/Igtp/Il17ra/Il18rap/Il21/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Itga6/Lonrf3/Lrp12/Lss/Ltb/Mdfic/Mrps18c/Ms4a6b/Msh5/Mtap6/Nagk/Nampt/Nedd9/Nr1d2/Pcna/Pdcd4/Pdlim4/Phlda1/Pik3cg/Pla1a/Pml/Ppt1/Pus1/Rad51l3/Ralb/Rgs10/Rwdd1/Scly/Seh1l/Selp/Sema4b/Slc17a6/Slc37a4/Slco3a1/Smad5/Snx1/Soat1/Sorl1/St6gal1/Stat2/Stau2/Stk39/Tcf7/Tgtp/Tnfrsf10b/Trp53i11/Ttc27/Ugcg/Wdr78/Xpo6/Zbp1/Zfyve27",105,"Ind","linear model"
"Gata_Th2","Gata_Th2","2/216","29/737",0.999536280582654,0.999536280582654,0.999536280582654,"Il24/Slc17a6",2,"Ind","linear model"
"Stat1","Stat1","7/21","28/64",0.926411077178681,0.999916327737635,0.999916327737635,"Ifih1/Oasl2/Ifi35/Tap1/Hsh2d/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","1/21","10/64",0.987342086946996,0.999916327737635,0.999916327737635,"Il18rap",1,"Ind","hclust"
