"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","98/255","290/832",0.0872925210621454,0.591567751099519,0.591567751099519,"1600014C10Rik/4933430I17Rik/9930104L06Rik/AA467197/Acadsb/Ahsa1/Alg9/Angptl4/Aqr/Arhgap30/Atp8a1/Bbs12/Bst2/Cacnb3/Casp3/Casp8/Ccna2/Cdipt/Chek2/Cirbp/Cndp2/Cox17/Cox5b/Dhx57/Eif2ak2/Eif3k/Elmo2/Enc1/Esco1/Evi2a/Exosc2/Eya3/Fcf1/Fnip1/Gadd45g/Gemin6/Gimap8/Gnas/Golga5/H2-K1/H2-T23/Hyou1/Ifi35/Ifih1/Igtp/Il18rap/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Kcnk10/Klf2/Klhl21/Lrp11/Lrp12/Lss/Mgst3/Mrpl16/Mrps18c/Nampt/Ndufb5/Nedd9/Npc1/Nup133/Oasl1/Oasl2/Pcgf5/Pcna/Pde6d/Pdss1/Pigf/Pml/Polg/Polk/Pprc1/Psmb9/Psmc4/Rwdd1/Seh1l/Slc1a4/Slc37a1/Slco3a1/Snupn/Snx1/Spag1/Stat2/Surf2/Tap1/Tnfaip8l2/Tnfsf9/Trmu/Ttc14/Ttc27/Usp18/Zbp1/Zfp106",98,"Ind","linear model"
"Stat4","Stat4","166/255","518/832",0.14789193777488,0.591567751099519,0.591567751099519,"1600014C10Rik/1700113I22Rik/2310004I24Rik/4933430I17Rik/A430107D22Rik/Abcd3/Acadsb/Aco2/Actn1/Adam9/Adora2b/Agpat3/Agpat4/Ahsa1/Alg9/Amica1/Angptl4/Apobec1/Arhgap1/Arhgap29/Arhgap30/Atn1/B9d2/Bbs12/Bbs9/BC046331/Bcl3/Bmpr1a/Brwd1/Ccdc28b/Cd226/Cd44/Cd70/Cdipt/Cirbp/Cndp2/Cobll1/Ctla4/Cyb561d1/Dab2ip/Ddit3/Ddr1/Dock11/Dyrk2/Ears2/Eif3k/Eif4enif1/Elk3/Elmo2/Ets1/Eya3/Fgf2/Fgl2/Fnip1/Fut7/Fyb/Gadd45g/Gimap1/Gimap8/Gnas/H2-D1/Hexb/Hopx/Ifi35/Ifih1/Igf2bp3/Igtp/Il12rb1/Il17ra/Il18rap/Il21/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Itga6/Itih5/Kcnk10/Klhdc5/Klhl21/Klrk1/Lonrf3/Lrp11/Lss/Mdfic/Mmp14/Ms4a6b/Msh5/Mtap6/Myo1g/Nampt/Nav1/Nedd9/Nfatc1/Nrn1/Nrp1/Pacsin1/Pcgf5/Pcna/Pdcd4/Pign/Pik3cg/Pip4k2a/Pitpnm2/Pkp3/Pla1a/Plekhb2/Plekhm1/Pml/Polg/Polk/Pprc1/Ppt1/Prm1/Psmb9/Ralb/Rbm5/Rgs10/Rin3/Rpl7a/Sc4mol/Scly/Seh1l/Selp/Sema4b/Serpina3f/Serpina3g/Slc12a8/Slc16a6/Slc17a6/Slc37a1/Slco3a1/Snx25/Snx9/Soat1/Sorl1/Spag1/St6gal1/Stat2/Stat5a/Stau2/Stk39/Sulf2/Surf2/Tal2/Tap1/Tapbpl/Tcf7/Tgtp/Tha1/Tmem120b/Tmem159/Tnfrsf10b/Trp53i11/Ttc14/Ube2l6/Ugcg/Wbp7/Wdr67/Wdr78/Xpo6/Zbp1/Zc3h12d/Zdhhc14",166,"Ind","linear model"
"Tbet_neg","Tbet_neg","16/255","59/832",0.773143963530662,0.999858415520649,0.999858415520649,"Ccdc109b/Cd74/Ckmt1/Ctla4/H2-DMb1/Hsd17b11/Il21/Irs2/Nrn1/Pde6d/Phlda1/Ralb/Serf1/St6gal1/Tcf7/Trat1",16,"Ind","linear model"
"Tbet_large","Tbet_large","79/255","272/832",0.781854134528653,0.999858415520649,0.999858415520649,"Angptl4/Aqr/Arhgap30/Atp1b3/Bbs9/Bcl3/Brwd1/Cap1/Casp3/Casp8/Cbx7/Cd226/Ctla4/E4f1/Eed/Elmo2/Esco1/Ets1/Exosc2/Fgl2/Fyb/Gimap1/Gnb2l1/Golga5/H2-K1/H2-Ke6/Hexb/Hopx/Igtp/Il10rb/Il17ra/Il21/Il2rb/Irf1/Irf8/Irs2/Klf2/Klrk1/Limd2/Lss/Mycbp2/Nedd9/Nfatc1/Nr1d2/Nrn1/Oasl2/Otx1/Pcmtd1/Pdcd4/Pik3cg/Pip4k2a/Pitpnm2/Polg/Pprc1/Prm1/Ralb/Rap1b/Rasl11b/Rbm5/Rwdd1/Slc17a6/Slco3a1/Snx1/Sorl1/Spag1/St6gal1/Stat5a/Stau2/Stk39/Sulf2/Tcf7/Tha1/Tmem159/Trat1/Ttc14/Ttc27/Ugcg/Xpo6/Zc3h12d",79,"Ind","linear model"
"Tbet_pos","Tbet_pos","18/255","67/832",0.797848140441954,0.999858415520649,0.999858415520649,"AA467197/Actn1/Amica1/Dyrk2/Hopx/Igf2bp3/Il18rap/Il24/Irf8/Klrk1/Lss/Mx1/Nedd9/Serpina3f/Spp1/Sulf2/Ugcg/Usp18",18,"Ind","linear model"
"Gata_Th1","Gata_Th1","7/255","35/832",0.948281952955845,0.999858415520649,0.999858415520649,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Tmem159/Usp18",7,"Ind","linear model"
"Stat6","Stat6","123/255","436/832",0.953079894152483,0.999858415520649,0.999858415520649,"1500012F01Rik/2310004I24Rik/A430107D22Rik/AA467197/Acadsb/Adam9/Adora2b/Agpat3/Agpat4/Amica1/Arcn1/Arfgap3/Arhgap1/Arhgap30/Ash1l/Atn1/B9d2/Bbs12/Bbs9/Bcl3/Brwd1/Cap1/Casp8/Cbx7/Ccdc109b/Ccnh/Cd96/Cirbp/Cndp2/Cobll1/Ctla4/Ddit3/Ddr1/Dhx57/E4f1/Eif3k/Elmo2/Ets1/Evi2a/Fnip1/Fyb/Gadd45g/Gimap1/Golga5/H2-D1/H2-K1/Hmox1/Hyou1/Ide/Ifi35/Igtp/Il12rb1/Il17ra/Il18rap/Il21/Il24/Il2rb/Immt/Irf1/Irf8/Irs2/Itga6/Klf2/Klhl21/Lonrf3/Lrp12/Lss/Ltb/Mdfic/Mrps18c/Ms4a6b/Msh5/Mtap6/Mycbp2/Nagk/Nampt/Nedd9/Nfatc1/Nr1d2/Pcna/Pdcd4/Pdlim4/Phlda1/Pik3cg/Pip4k2a/Pla1a/Pml/Polk/Ppt1/Pus1/Rad51l3/Ralb/Rgs10/Rwdd1/Sc4mol/Scly/Seh1l/Selp/Sema4b/Slc17a6/Slc37a4/Slco3a1/Smad5/Snx1/Soat1/Sorl1/St6gal1/Stat2/Stat5a/Stau2/Stk39/Surf2/Tcf7/Tgtp/Tha1/Tnfrsf10b/Trp53i11/Ttc27/Ugcg/Wdr78/Xpo6/Zbp1/Zfyve27",123,"Ind","linear model"
"Gata_Th2","Gata_Th2","2/255","31/832",0.999858415520649,0.999858415520649,0.999858415520649,"Il24/Slc17a6",2,"Ind","linear model"
"Stat1","Stat1","7/21","28/64",0.926411077178681,0.999916327737635,0.999916327737635,"Ifih1/Oasl2/Ifi35/Tap1/Hsh2d/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","1/21","10/64",0.987342086946996,0.999916327737635,0.999916327737635,"Il18rap",1,"Ind","hclust"
