"annot","gene","celltype"
1,"Gnaq","Th0"
2,"Il6ra","Th0"
1,"Depdc1b","Th0"
2,"EG630499","Th0"
3,"Dusp4","Th0"
1,"Tmpo","Th0"
1,"Ppme1","Th0"
2,"Cdc14b","Th0"
3,"C230052I12Rik","Th0"
2,"Tacc1","Th0"
3,"Insig1","Th0"
1,"Armcx6","Th0"
1,"Ankmy2","Th0"
3,"Chek1","Th0"
1,"Trim25","Th0"
1,"Rb1","Th0"
1,"Plcxd1","Th0"
3,"Mrpl52","Th0"
1,"Tmed10","Th0"
2,"Rapgef2","Th0"
1,"B9d2","Th0"
1,"Ubl7","Th0"
2,"Ehd3","Th0"
1,"Gm2a","Th0"
1,"Khk","Th0"
1,"Capg","Th0"
3,"Slc38a2","Th0"
4,"Ptp4a1","Th0"
2,"Nrbp1","Th0"
2,"Midn","Th0"
1,"Akap7","Th0"
4,"Hat1","Th0"
3,"Chmp5","Th0"
3,"Phldb1","Th0"
1,"Tmco3","Th0"
2,"Srpk3","Th0"
2,"Cep97","Th0"
2,"Mycbp2","Th0"
2,"4632419K20Rik","Th0"
1,"Cenpp","Th0"
4,"5730596K20Rik","Th0"
2,"Bbs4","Th0"
2,"Hist1h1c","Th0"
2,"Cxcr5","Th0"
2,"AB124611","Th0"
2,"4833442J19Rik","Th0"
4,"Cops7a","Th0"
3,"Syngr2","Th0"
2,"Zfp75","Th0"
2,"Dgka","Th0"
1,"Agpat3","Th0"
2,"Nhsl1","Th0"
2,"Arid4a","Th0"
2,"Rbm5","Th0"
2,"Pias1","Th0"
1,"Ntan1","Th0"
3,"Lonp1","Th0"
1,"Mcoln3","Th0"
3,"2210412D01Rik","Th0"
1,"1810037I17Rik","Th0"
4,"Nola3","Th0"
2,"Il11ra1","Th0"
2,"Mcl1","Th0"
4,"Idh3a","Th0"
1,"Cebpg","Th0"
2,"Ggnbp1","Th0"
4,"Carm1","Th0"
2,"Cbx8","Th0"
3,"Ticam2","Th0"
2,"Cd2","Th0"
4,"Dusp6","Th0"
1,"Unc119","Th0"
2,"Atp2a3","Th0"
1,"Trp53inp1","Th0"
1,"E2f1","Th0"
1,"Gbp3","Th0"
2,"Smarce1","Th0"
3,"Prrg3","Th0"
3,"Aco2","Th0"
3,"Vbp1","Th0"
2,"Cd86","Th0"
1,"Akr1e1","Th0"
1,"Slco3a1","Th0"
4,"Wiz","Th0"
2,"Elmo1","Th0"
2,"Gprk6","Th0"
2,"Ccm2","Th0"
2,"Txnip","Th0"
1,"Adar","Th0"
2,"Bcl11b","Th0"
2,"Epc1","Th0"
1,"Hist1h2ag","Th0"
2,"Cxxc1","Th0"
4,"Alg3","Th0"
2,"Cd96","Th0"
4,"Cops5","Th0"
1,"Abi2","Th0"
1,"Ctnna1","Th0"
1,"Hist2h2ab","Th0"
4,"Sla","Th0"
3,"Cd44","Th0"
1,"Ctsb","Th0"
3,"Pkig","Th0"
2,"Qprt","Th0"
4,"Pus7l","Th0"
4,"Polr2d","Th0"
2,"2310010M24Rik","Th0"
3,"Phf10","Th0"
1,"Rad50","Th0"
3,"Suhw2","Th0"
2,"Sec22c","Th0"
2,"Adh1","Th0"
1,"Rad51","Th0"
2,"Nrbp2","Th0"
2,"Tardbp","Th0"
3,"Pex11c","Th0"
1,"Ebpl","Th0"
4,"Polr2h","Th0"
1,"Acat2","Th0"
2,"Ppic","Th0"
2,"Ccdc88c","Th0"
4,"Abcf2","Th0"
2,"Il4ra","Th0"
4,"Bcl2a1b","Th0"
4,"Tagap","Th0"
4,"Nudc","Th0"
2,"Adamtsl4","Th0"
2,"Nme7","Th0"
2,"Cd164","Th0"
