"","c1","c2","c3","gene"
"Mapk1ip1.1",2,2,2,"Mapk1ip1.1"
"Hmgn3",3,3,3,"Hmgn3"
"Gmppa",3,3,3,"Gmppa"
"Gimap7",1,1,1,"Gimap7"
"Cs",3,3,3,"Cs"
"Anxa1",1,1,1,"Anxa1"
"Rangrf",5,5,5,"Rangrf"
"Hscb",1,1,1,"Hscb"
"Jtb",5,5,5,"Jtb"
"Pola2",3,3,3,"Pola2"
"Txnl4a",5,5,5,"Txnl4a"
"Tubb6",1,1,1,"Tubb6"
"Mtbp",3,3,3,"Mtbp"
"Atp9a",1,1,1,"Atp9a"
"Ccdc92",1,1,1,"Ccdc92"
"5830434P21Rik",2,2,2,"5830434P21Rik"
"Fignl1",3,3,3,"Fignl1"
"Dtymk",4,4,4,"Dtymk"
"Slc22a21",3,3,3,"Slc22a21"
"Cct4",4,4,4,"Cct4"
"Zfp30",1,1,1,"Zfp30"
"Polq",3,3,3,"Polq"
"Elovl6",1,1,1,"Elovl6"
"Ifit3",1,1,1,"Ifit3"
"6230416J20Rik",3,3,3,"6230416J20Rik"
"Dusp23",2,2,2,"Dusp23"
"Cycs",4,4,4,"Cycs"
"Fcrla",2,2,2,"Fcrla"
"Hist1h2ah",3,3,3,"Hist1h2ah"
"Igf2r",2,2,2,"Igf2r"
"Csk",2,2,2,"Csk"
"Mapk13",1,1,1,"Mapk13"
"H2-Oa",1,1,1,"H2-Oa"
"Trak2",5,5,5,"Trak2"
"Acot7",4,4,4,"Acot7"
"Ilkap",2,2,2,"Ilkap"
"Rassf4",1,1,1,"Rassf4"
"Tfg",3,3,3,"Tfg"
"Mdm1.2",3,3,3,"Mdm1.2"
"Dnm1l",5,5,5,"Dnm1l"
"Ube2v1",3,3,3,"Ube2v1"
"Elac2",5,5,5,"Elac2"
"Pomgnt1",5,5,5,"Pomgnt1"
"2810403A07Rik",2,2,2,"2810403A07Rik"
"Slc10a7",1,1,1,"Slc10a7"
"Mrps2",4,4,4,"Mrps2"
"Zmpste24",5,5,5,"Zmpste24"
"2410003P15Rik",5,5,5,"2410003P15Rik"
"Ankrd13c",5,5,5,"Ankrd13c"
"Nif3l1",4,4,4,"Nif3l1"
"Krr1",4,4,4,"Krr1"
"Vps4b",1,1,1,"Vps4b"
"Map3k1",1,1,1,"Map3k1"
"Atp6v0d1",1,1,1,"Atp6v0d1"
"Camk1d.1",2,2,2,"Camk1d.1"
"E2f2",1,1,1,"E2f2"
"Pik3ap1",1,1,1,"Pik3ap1"
"H2afj",5,5,5,"H2afj"
"Ube2q2",1,1,1,"Ube2q2"
"Llgl1",2,2,2,"Llgl1"
"Slc6a6",4,4,4,"Slc6a6"
"Glce",5,5,5,"Glce"
"Hspbap1",2,2,2,"Hspbap1"
"Atp2a2",5,5,5,"Atp2a2"
"Sema3b",1,1,1,"Sema3b"
"Coro1b",1,1,1,"Coro1b"
"Nubp1",4,4,4,"Nubp1"
"Smug1",5,5,5,"Smug1"
"Ube2d3",5,5,5,"Ube2d3"
"Zfp142.1",5,5,5,"Zfp142.1"
"Armcx1",1,1,1,"Armcx1"
"Elmo1.2",2,2,2,"Elmo1.2"
"Ddx1",4,4,4,"Ddx1"
"Ptges2",4,4,4,"Ptges2"
"Immt",4,4,4,"Immt"
"Xpc.1",2,2,2,"Xpc.1"
"1110049F12Rik",4,4,4,"1110049F12Rik"
"Atp2a1",1,1,1,"Atp2a1"
"Zc3h10",5,5,5,"Zc3h10"
"Egln1",1,1,1,"Egln1"
"Tle6",1,1,1,"Tle6"
"Mettl4",4,4,4,"Mettl4"
"Prc1",1,1,1,"Prc1"
"2400003C14Rik.1",1,1,1,"2400003C14Rik.1"
"Tirap",1,1,1,"Tirap"
"Tax1bp3",1,1,1,"Tax1bp3"
"Trat1",2,2,2,"Trat1"
"Arrb1.1",1,1,1,"Arrb1.1"
"Sdcbp2",1,1,1,"Sdcbp2"
"V1rc30",2,2,2,"V1rc30"
"Nudt21",3,3,3,"Nudt21"
"2310022A10Rik",4,4,4,"2310022A10Rik"
"Xrcc6",4,4,4,"Xrcc6"
"Lilrb4.1",1,1,1,"Lilrb4.1"
"AA407659.1",1,1,1,"AA407659.1"
"Sfrs1",5,5,5,"Sfrs1"
"Fbxo25",1,1,1,"Fbxo25"
"Myom1",1,1,1,"Myom1"
"Dhdh",1,1,1,"Dhdh"
"1500032L24Rik",3,3,3,"1500032L24Rik"
"Sh2b1",1,1,1,"Sh2b1"
"Mrpl1",4,4,4,"Mrpl1"
"Lyz2",2,2,2,"Lyz2"
"Fgf2",3,3,3,"Fgf2"
"Ncdn",5,5,5,"Ncdn"
"Sh3yl1",1,1,1,"Sh3yl1"
"Gnb5",1,1,1,"Gnb5"
"Slc6a13",1,1,1,"Slc6a13"
"A230067G21Rik",2,2,2,"A230067G21Rik"
"Rbm38",2,2,2,"Rbm38"
"Pus10",4,4,4,"Pus10"
"Pex14",4,4,4,"Pex14"
"Rapgef6",2,2,2,"Rapgef6"
"Cbx7",2,2,2,"Cbx7"
"Abcb6",4,4,4,"Abcb6"
"Eif2ak2",3,3,3,"Eif2ak2"
"Saps2",1,1,1,"Saps2"
"Ece2",5,5,5,"Ece2"
"Ltbp1",1,1,1,"Ltbp1"
"Mrps10",4,4,4,"Mrps10"
"Oasl1.1",3,3,3,"Oasl1.1"
"Med11",4,4,4,"Med11"
"Lsm12.1",3,3,3,"Lsm12.1"
"Ifitm2",3,3,3,"Ifitm2"
"Gzf1",1,1,1,"Gzf1"
"Zfp2",3,3,3,"Zfp2"
"BC057079",1,1,1,"BC057079"
"Lmnb1",3,3,3,"Lmnb1"
"Tmem35",3,3,3,"Tmem35"
"Ap2b1",2,2,2,"Ap2b1"
"Yrdc",5,5,5,"Yrdc"
"Snai3",1,1,1,"Snai3"
"Tmprss6",1,1,1,"Tmprss6"
"Ntrk3",2,2,2,"Ntrk3"
"Ipo5",5,5,5,"Ipo5"
"Fndc5",2,2,2,"Fndc5"
"Apoa1bp",1,1,1,"Apoa1bp"
"Eif4e3",1,1,1,"Eif4e3"
"H2-DMa.1",1,1,1,"H2-DMa.1"
"Sec16a",2,2,2,"Sec16a"
"Capsl",3,3,3,"Capsl"
"Hras1",4,4,4,"Hras1"
"Cables1",1,1,1,"Cables1"
"C1qdc2",1,1,1,"C1qdc2"
"Ahnak.1",1,1,1,"Ahnak.1"
"2510009E07Rik",2,2,2,"2510009E07Rik"
"1110020P15Rik",4,4,4,"1110020P15Rik"
"Hc",1,1,1,"Hc"
"Rapgef1",5,5,5,"Rapgef1"
"Prr7",2,2,2,"Prr7"
"Lrp11",3,3,3,"Lrp11"
"Gpr137",1,1,1,"Gpr137"
"Ints4",5,5,5,"Ints4"
"Hprt1",3,3,3,"Hprt1"
"Nat12",5,5,5,"Nat12"
"Arl6",3,3,3,"Arl6"
"Sdcbp2.1",1,1,1,"Sdcbp2.1"
"Pscd3",2,2,2,"Pscd3"
"4930486L24Rik",1,1,1,"4930486L24Rik"
"Slc25a38",5,5,5,"Slc25a38"
"Nckap1l",1,1,1,"Nckap1l"
"Rpl4",3,3,3,"Rpl4"
"Pkp2",1,1,1,"Pkp2"
"S100a1",1,1,1,"S100a1"
"Tfb1m",3,3,3,"Tfb1m"
"Dnase1l2",2,2,2,"Dnase1l2"
"Dtwd2",4,4,4,"Dtwd2"
"Trim56",2,2,2,"Trim56"
"Sgol1",1,1,1,"Sgol1"
"Laptm5",1,1,1,"Laptm5"
"Apoc4",1,1,1,"Apoc4"
"Akr1a4.1",1,1,1,"Akr1a4.1"
"Fcrls",1,1,1,"Fcrls"
"Ccdc137",5,5,5,"Ccdc137"
"Pop1",4,4,4,"Pop1"
"D17Wsu92e",3,3,3,"D17Wsu92e"
"Tmem71",2,2,2,"Tmem71"
"Atp2a2.1",5,5,5,"Atp2a2.1"
"Cd3g",2,2,2,"Cd3g"
"Morc3",1,1,1,"Morc3"
"Ppt1",1,1,1,"Ppt1"
"Thop1",4,4,4,"Thop1"
"4930539E08Rik",1,1,1,"4930539E08Rik"
"Grwd1",5,5,5,"Grwd1"
"1700019E19Rik",3,3,3,"1700019E19Rik"
"Cenpf",1,1,1,"Cenpf"
"Cd97",2,2,2,"Cd97"
"1110001A07Rik",3,3,3,"1110001A07Rik"
"Ptcd3",4,4,4,"Ptcd3"
"Nsdhl",3,3,3,"Nsdhl"
"Mospd1",1,1,1,"Mospd1"
"Cd27",2,2,2,"Cd27"
"Syp",1,1,1,"Syp"
"Plcxd1.1",1,1,1,"Plcxd1.1"
"Krt18",1,1,1,"Krt18"
"Vps54",1,1,1,"Vps54"
"Tmem33.1",4,4,4,"Tmem33.1"
"B230317C12Rik",3,3,3,"B230317C12Rik"
"Cryz",3,3,3,"Cryz"
"Setdb2",3,3,3,"Setdb2"
"Fkrp",5,5,5,"Fkrp"
"Ccr8",3,3,3,"Ccr8"
"2610027C15Rik",1,1,1,"2610027C15Rik"
"Dlgap4",2,2,2,"Dlgap4"
"Wasl",1,1,1,"Wasl"
"Setd4",2,2,2,"Setd4"
"Ccdc132",5,5,5,"Ccdc132"
"Ccr6",2,2,2,"Ccr6"
"Dnase1l2.1",2,2,2,"Dnase1l2.1"
"Tnfrsf21",4,4,4,"Tnfrsf21"
"Lyrm1",3,3,3,"Lyrm1"
"Cenpf.1",1,1,1,"Cenpf.1"
"EG330305",1,1,1,"EG330305"
"Tmem50b.1",2,2,2,"Tmem50b.1"
"Atp6v0e2",1,1,1,"Atp6v0e2"
"Pde6d.1",1,1,1,"Pde6d.1"
"Acvr1c",1,1,1,"Acvr1c"
"Atic",4,4,4,"Atic"
"Wdr61",5,5,5,"Wdr61"
"Entpd6",5,5,5,"Entpd6"
"1810007P19Rik",3,3,3,"1810007P19Rik"
"Akr1c12",1,1,1,"Akr1c12"
"Mta2",5,5,5,"Mta2"
"Ash1l",2,2,2,"Ash1l"
"1190005P17Rik",4,4,4,"1190005P17Rik"
"Pygl",1,1,1,"Pygl"
"Poli",1,1,1,"Poli"
"Mtfmt",4,4,4,"Mtfmt"
"Map3k1.1",1,1,1,"Map3k1.1"
"Snrpd3",5,5,5,"Snrpd3"
"Chmp2a.1",1,1,1,"Chmp2a.1"
"Lix1",2,2,2,"Lix1"
"Acp6",1,1,1,"Acp6"
"Emr1",1,1,1,"Emr1"
"D13Ertd608e",2,2,2,"D13Ertd608e"
"Dpysl2",1,1,1,"Dpysl2"
"Snrpd2",4,4,4,"Snrpd2"
"Zfp821",1,1,1,"Zfp821"
"Hnrpm",5,5,5,"Hnrpm"
"Id2",1,1,1,"Id2"
"Wipi1.1",1,1,1,"Wipi1.1"
"Itpk1",1,1,1,"Itpk1"
"Tnrc6c",2,2,2,"Tnrc6c"
"Exoc1",2,2,2,"Exoc1"
"Mipep",4,4,4,"Mipep"
"Pecam1",2,2,2,"Pecam1"
"C78339",1,1,1,"C78339"
"Cuedc1",1,1,1,"Cuedc1"
"Dab2ip",4,4,4,"Dab2ip"
"Scand1",1,1,1,"Scand1"
"Fkbp2",3,3,3,"Fkbp2"
"Hus1.1",4,4,4,"Hus1.1"
"Serpina3g",4,4,4,"Serpina3g"
"Upp1",1,1,1,"Upp1"
"Cdca3",1,1,1,"Cdca3"
"Rpl12",2,2,2,"Rpl12"
"Smpd1",1,1,1,"Smpd1"
"9530096D07Rik",1,1,1,"9530096D07Rik"
"Ppp2r3c",3,3,3,"Ppp2r3c"
"Tomm40",5,5,5,"Tomm40"
"Tlr6",1,1,1,"Tlr6"
"Zxdc",5,5,5,"Zxdc"
"Gnpda1",3,3,3,"Gnpda1"
"Espl1",3,3,3,"Espl1"
"Prdx1.1",4,4,4,"Prdx1.1"
"Lgals6",1,1,1,"Lgals6"
"Gyg",1,1,1,"Gyg"
"Mxi1",1,1,1,"Mxi1"
"Dab2.1",1,1,1,"Dab2.1"
"Fkbp4",4,4,4,"Fkbp4"
"Fkbp11",3,3,3,"Fkbp11"
"Cdk5rap1",4,4,4,"Cdk5rap1"
"Txndc13",1,1,1,"Txndc13"
"Usp54",5,5,5,"Usp54"
"Rxra",3,3,3,"Rxra"
"Tceal8",3,3,3,"Tceal8"
"Gmfg",1,1,1,"Gmfg"
"Actr5",5,5,5,"Actr5"
"Xpr1",1,1,1,"Xpr1"
"Tmem42",5,5,5,"Tmem42"
"Prdm16.1",1,1,1,"Prdm16.1"
"Polr3e",5,5,5,"Polr3e"
"St3gal4",3,3,3,"St3gal4"
"Selplg",1,1,1,"Selplg"
"4933439C20Rik",1,1,1,"4933439C20Rik"
"Ndufa12",4,4,4,"Ndufa12"
"Dcun1d3",2,2,2,"Dcun1d3"
"Pkn1.1",1,1,1,"Pkn1.1"
"Tnnc1",3,3,3,"Tnnc1"
"Mrpl48",3,3,3,"Mrpl48"
"Hspa2",1,1,1,"Hspa2"
"Brf2",4,4,4,"Brf2"
"Snx25",3,3,3,"Snx25"
"Aftph",5,5,5,"Aftph"
"Copz2.1",1,1,1,"Copz2.1"
"Slc25a38.1",5,5,5,"Slc25a38.1"
"Smo",3,3,3,"Smo"
"Ankfy1",1,1,1,"Ankfy1"
"Mettl1",5,5,5,"Mettl1"
"Tmem93",5,5,5,"Tmem93"
"Edem2",1,1,1,"Edem2"
"Nedd9",2,2,2,"Nedd9"
"Cd55",2,2,2,"Cd55"
"E2f8",3,3,3,"E2f8"
"Mrps18a",4,4,4,"Mrps18a"
"Hexdc",3,3,3,"Hexdc"
"Cdipt.1",2,2,2,"Cdipt.1"
"Psd3",1,1,1,"Psd3"
"5430432M24Rik",1,1,1,"5430432M24Rik"
"Pip5k1b",3,3,3,"Pip5k1b"
"Mov10",1,1,1,"Mov10"
"Rab6",1,1,1,"Rab6"
"H2afx",1,1,1,"H2afx"
"Suv39h1",3,3,3,"Suv39h1"
"Tuba4a",5,5,5,"Tuba4a"
"Six5",3,3,3,"Six5"
"Arfgap3",1,1,1,"Arfgap3"
"Clec2i",2,2,2,"Clec2i"
"Gipc1",3,3,3,"Gipc1"
"Slc16a3",3,3,3,"Slc16a3"
"Rbm26",5,5,5,"Rbm26"
"Mybbp1a",5,5,5,"Mybbp1a"
"Slc10a4",1,1,1,"Slc10a4"
"Drp2",3,3,3,"Drp2"
"Mtch2",3,3,3,"Mtch2"
"Kcnk10",3,3,3,"Kcnk10"
"Ndor1.1",5,5,5,"Ndor1.1"
"Plekha8",3,3,3,"Plekha8"
"Eno2",1,1,1,"Eno2"
"Cxx1a",1,1,1,"Cxx1a"
"Vapa",3,3,3,"Vapa"
"Lrp8",3,3,3,"Lrp8"
"Numa1",2,2,2,"Numa1"
"Unc13b",3,3,3,"Unc13b"
"Rg9mtd2",4,4,4,"Rg9mtd2"
"Apobec1",1,1,1,"Apobec1"
"Mettl3",5,5,5,"Mettl3"
"Muted",3,3,3,"Muted"
"Mllt3.1",1,1,1,"Mllt3.1"
"Atp6v1g1",1,1,1,"Atp6v1g1"
"Rap2ip",1,1,1,"Rap2ip"
"Icmt",4,4,4,"Icmt"
"Nap1l1",4,4,4,"Nap1l1"
"D12Ertd647e.1",1,1,1,"D12Ertd647e.1"
"St3gal5",4,4,4,"St3gal5"
"Fcgr2b",2,2,2,"Fcgr2b"
"Mbd1",5,5,5,"Mbd1"
"Arl8a",1,1,1,"Arl8a"
"Hist1h2ai",3,3,3,"Hist1h2ai"
"Zfp316",1,1,1,"Zfp316"
"1110007M04Rik",5,5,5,"1110007M04Rik"
"Afg3l1.1",4,4,4,"Afg3l1.1"
"Uxt",4,4,4,"Uxt"
"BC029214",1,1,1,"BC029214"
"Pank2",3,3,3,"Pank2"
"Mdh2",4,4,4,"Mdh2"
"Trim30",3,3,3,"Trim30"
"Mrpl13",4,4,4,"Mrpl13"
"Tigd2",1,1,1,"Tigd2"
"Hist2h2aa2",2,2,2,"Hist2h2aa2"
"Jmjd2c",1,1,1,"Jmjd2c"
"Spint2",3,3,3,"Spint2"
"Spp1",1,1,1,"Spp1"
"Chek1.1",3,3,3,"Chek1.1"
"Atg4d",2,2,2,"Atg4d"
"Tmem143.1",3,3,3,"Tmem143.1"
"Angel2",2,2,2,"Angel2"
"Dut",3,3,3,"Dut"
"Klhdc5",2,2,2,"Klhdc5"
"Chfr.1",1,1,1,"Chfr.1"
"Arhgef9",1,1,1,"Arhgef9"
"Ap2s1",1,1,1,"Ap2s1"
"Gnb2",1,1,1,"Gnb2"
"1700027N10Rik",1,1,1,"1700027N10Rik"
"5730472N09Rik",5,5,5,"5730472N09Rik"
"Gpr97",2,2,2,"Gpr97"
"Dppa2",1,1,1,"Dppa2"
"Smc3.1",3,3,3,"Smc3.1"
"Fbln1",1,1,1,"Fbln1"
"Hist1h3e",1,1,1,"Hist1h3e"
"Ckap5",1,1,1,"Ckap5"
"Casp8",1,1,1,"Casp8"
"Eif3i.2",4,4,4,"Eif3i.2"
"Ate1",4,4,4,"Ate1"
"Idh1",1,1,1,"Idh1"
"Gusb",4,4,4,"Gusb"
"Anln",1,1,1,"Anln"
"Olfml3",1,1,1,"Olfml3"
"Gtf3c2",1,1,1,"Gtf3c2"
"Terf2",1,1,1,"Terf2"
"Nol12",4,4,4,"Nol12"
"Prim2",3,3,3,"Prim2"
"Grhpr",1,1,1,"Grhpr"
"Snx33",5,5,5,"Snx33"
"Cep152",3,3,3,"Cep152"
"Ube2d3.1",5,5,5,"Ube2d3.1"
"Ddx49",3,3,3,"Ddx49"
"S100a8",2,2,2,"S100a8"
"Pard6g",1,1,1,"Pard6g"
"Hspa9",4,4,4,"Hspa9"
"Ctso",2,2,2,"Ctso"
"Napepld",1,1,1,"Napepld"
"Ppig",4,4,4,"Ppig"
"Zfp472",5,5,5,"Zfp472"
"Dock6",1,1,1,"Dock6"
"Rnf26",1,1,1,"Rnf26"
"EG245297",1,1,1,"EG245297"
"Rgs3",2,2,2,"Rgs3"
"4732479N06Rik.2",1,1,1,"4732479N06Rik.2"
"5630401D24Rik",5,5,5,"5630401D24Rik"
"Hist1h3h",1,1,1,"Hist1h3h"
"Bhlhb2",3,3,3,"Bhlhb2"
"Smarcad1",5,5,5,"Smarcad1"
"Mkrn1",1,1,1,"Mkrn1"
"Ubap2l",5,5,5,"Ubap2l"
"Utp15",4,4,4,"Utp15"
"1200014J11Rik",1,1,1,"1200014J11Rik"
"Vamp4",1,1,1,"Vamp4"
"Ugcg",2,2,2,"Ugcg"
"Ipmk",4,4,4,"Ipmk"
"Ddit3",1,1,1,"Ddit3"
"Ttc9c",1,1,1,"Ttc9c"
"Aqp1",1,1,1,"Aqp1"
"AW146242",1,1,1,"AW146242"
"Gars",4,4,4,"Gars"
"Mxra8",1,1,1,"Mxra8"
"Tpd52",1,1,1,"Tpd52"
"0610007P14Rik",3,3,3,"0610007P14Rik"
"Srf",2,2,2,"Srf"
"1810009A15Rik",4,4,4,"1810009A15Rik"
"Msc",1,1,1,"Msc"
"Ralb",3,3,3,"Ralb"
"Cryz.1",3,3,3,"Cryz.1"
"Wipf2",2,2,2,"Wipf2"
"Fcf1",4,4,4,"Fcf1"
"Srp72",1,1,1,"Srp72"
"Psme2",3,3,3,"Psme2"
"LOC547323",2,2,2,"LOC547323"
"Syngr1.1",3,3,3,"Syngr1.1"
"Exosc1",5,5,5,"Exosc1"
"Egln2",2,2,2,"Egln2"
"Pfkm",1,1,1,"Pfkm"
"Mbd6",2,2,2,"Mbd6"
"Tm2d2",1,1,1,"Tm2d2"
"Il6ra.1",2,2,2,"Il6ra.1"
"Exdl2",2,2,2,"Exdl2"
"Ppp2r5c",1,1,1,"Ppp2r5c"
"2810408M09Rik.1",5,5,5,"2810408M09Rik.1"
"Nupr1",3,3,3,"Nupr1"
"Sufu",4,4,4,"Sufu"
"Birc5",3,3,3,"Birc5"
"Sept10.1",1,1,1,"Sept10.1"
"Trappc4",4,4,4,"Trappc4"
"P2ry14",1,1,1,"P2ry14"
"Bcl2l1",4,4,4,"Bcl2l1"
"BC021381",2,2,2,"BC021381"
"BC022687",4,4,4,"BC022687"
"Wbp1",1,1,1,"Wbp1"
"5730410I19Rik.1",3,3,3,"5730410I19Rik.1"
"Ccr5",1,1,1,"Ccr5"
"3110082I17Rik",4,4,4,"3110082I17Rik"
"Uba2",4,4,4,"Uba2"
"Trp53i11",1,1,1,"Trp53i11"
"Chuk",5,5,5,"Chuk"
"Sec14l2",1,1,1,"Sec14l2"
"Frat1",2,2,2,"Frat1"
"Tns4",1,1,1,"Tns4"
"Fbxo6",3,3,3,"Fbxo6"
"Asns.1",3,3,3,"Asns.1"
"Nde1.1",1,1,1,"Nde1.1"
"Pi4ka.1",5,5,5,"Pi4ka.1"
"Hmgn1",4,4,4,"Hmgn1"
"Vldlr",1,1,1,"Vldlr"
"Stxbp1.1",1,1,1,"Stxbp1.1"
"1700037C18Rik",4,4,4,"1700037C18Rik"
"Nosip",1,1,1,"Nosip"
"Fcrla.1",2,2,2,"Fcrla.1"
"Mllt4",1,1,1,"Mllt4"
"2010001J22Rik",1,1,1,"2010001J22Rik"
"Lcmt1",3,3,3,"Lcmt1"
"Pcsk4.1",1,1,1,"Pcsk4.1"
"Hist1h2bn",1,1,1,"Hist1h2bn"
"Dhx8",5,5,5,"Dhx8"
"2610020H08Rik",1,1,1,"2610020H08Rik"
"Scotin.1",2,2,2,"Scotin.1"
"Dhx30",5,5,5,"Dhx30"
"2210404O07Rik",1,1,1,"2210404O07Rik"
"Tada2l",4,4,4,"Tada2l"
"Ezh2.1",3,3,3,"Ezh2.1"
"Adh5",3,3,3,"Adh5"
"Oaz3",3,3,3,"Oaz3"
"Nfrkb",2,2,2,"Nfrkb"
"Il8rb",1,1,1,"Il8rb"
"Erh",4,4,4,"Erh"
"B230339M05Rik.1",2,2,2,"B230339M05Rik.1"
"Eprs",3,3,3,"Eprs"
"Mrs2",3,3,3,"Mrs2"
"Ing5",5,5,5,"Ing5"
"Zhx1.1",1,1,1,"Zhx1.1"
"Pkn3",3,3,3,"Pkn3"
"Dtx4.1",2,2,2,"Dtx4.1"
"Mrm1",2,2,2,"Mrm1"
"Ripk1",1,1,1,"Ripk1"
"Slc25a13",4,4,4,"Slc25a13"
"2310056P07Rik",1,1,1,"2310056P07Rik"
"BC011487",1,1,1,"BC011487"
"Rtkn2",1,1,1,"Rtkn2"
"Il4",1,1,1,"Il4"
"Zpbp2",1,1,1,"Zpbp2"
"Stra6",3,3,3,"Stra6"
"Nup85",4,4,4,"Nup85"
"Eif3s10",4,4,4,"Eif3s10"
"Cno",5,5,5,"Cno"
"Ndufs4",1,1,1,"Ndufs4"
"Sdccag3",5,5,5,"Sdccag3"
"Lman1l.1",5,5,5,"Lman1l.1"
"Mtf1",5,5,5,"Mtf1"
"Bmp2k.1",1,1,1,"Bmp2k.1"
"Stambp",3,3,3,"Stambp"
"Arl8b",5,5,5,"Arl8b"
"1700019D03Rik",3,3,3,"1700019D03Rik"
"Kif24.1",3,3,3,"Kif24.1"
"Polr3a",5,5,5,"Polr3a"
"Gpt2",3,3,3,"Gpt2"
"Asf1b",3,3,3,"Asf1b"
"Arrdc1",1,1,1,"Arrdc1"
"Parp12",1,1,1,"Parp12"
"6720463M24Rik",3,3,3,"6720463M24Rik"
"Nusap1",1,1,1,"Nusap1"
"Plscr1",3,3,3,"Plscr1"
"1700029P11Rik",3,3,3,"1700029P11Rik"
"Phf11",1,1,1,"Phf11"
"Arrb1.2",1,1,1,"Arrb1.2"
"Arbp",3,3,3,"Arbp"
"C330002I19Rik.1",1,1,1,"C330002I19Rik.1"
"Cse1l",4,4,4,"Cse1l"
"Akr1b3",5,5,5,"Akr1b3"
"Timm44",4,4,4,"Timm44"
"Fkbp1a",1,1,1,"Fkbp1a"
"Cd70",3,3,3,"Cd70"
"2610209A20Rik",5,5,5,"2610209A20Rik"
"Klhl12",4,4,4,"Klhl12"
"Pex3",4,4,4,"Pex3"
"Ryk",3,3,3,"Ryk"
"Uchl5",4,4,4,"Uchl5"
"BC050092",4,4,4,"BC050092"
"Eif4g1",5,5,5,"Eif4g1"
"Maml3",1,1,1,"Maml3"
"Mepce",5,5,5,"Mepce"
"LOC547343",1,1,1,"LOC547343"
"BC050811.1",2,2,2,"BC050811.1"
"Glt8d1",1,1,1,"Glt8d1"
"1110031I02Rik",3,3,3,"1110031I02Rik"
"Hnrpll",4,4,4,"Hnrpll"
"Rnf170",3,3,3,"Rnf170"
"Sypl",1,1,1,"Sypl"
"Lrrc16b",1,1,1,"Lrrc16b"
"Surf4",1,1,1,"Surf4"
"Rbm13",4,4,4,"Rbm13"
"Smap2",2,2,2,"Smap2"
"AA408296",5,5,5,"AA408296"
"Tbc1d23",1,1,1,"Tbc1d23"
"Pdap1",4,4,4,"Pdap1"
"Aif1",1,1,1,"Aif1"
"Rgs3.1",1,1,1,"Rgs3.1"
"Gtf2h3",4,4,4,"Gtf2h3"
"Shq1",4,4,4,"Shq1"
"Smpd1.1",1,1,1,"Smpd1.1"
"Safb2",2,2,2,"Safb2"
"2010305C02Rik",3,3,3,"2010305C02Rik"
"Kntc1",3,3,3,"Kntc1"
"Uap1l1",1,1,1,"Uap1l1"
"BC038156",2,2,2,"BC038156"
"Mad2l1",3,3,3,"Mad2l1"
"Hist1h2bb",1,1,1,"Hist1h2bb"
"Ccng1",1,1,1,"Ccng1"
"Zfand3",1,1,1,"Zfand3"
"2010001J22Rik.1",1,1,1,"2010001J22Rik.1"
"Mrps31",4,4,4,"Mrps31"
"Wasf1",3,3,3,"Wasf1"
"Cdo1",5,5,5,"Cdo1"
"F2rl1",2,2,2,"F2rl1"
"Pop7",4,4,4,"Pop7"
"Hist1h4d",1,1,1,"Hist1h4d"
"Rbm38.1",2,2,2,"Rbm38.1"
"Umps",4,4,4,"Umps"
"Tln2",3,3,3,"Tln2"
"Cd99l2",1,1,1,"Cd99l2"
"Prkar1b",1,1,1,"Prkar1b"
"Nrm",1,1,1,"Nrm"
"2010003O18Rik",4,4,4,"2010003O18Rik"
"Ppm1e",3,3,3,"Ppm1e"
"Atg2a",2,2,2,"Atg2a"
"Lama5",1,1,1,"Lama5"
"Ptpn1",1,1,1,"Ptpn1"
"Stbd1",1,1,1,"Stbd1"
"4831426I19Rik.1",1,1,1,"4831426I19Rik.1"
"2310001A20Rik",5,5,5,"2310001A20Rik"
"Bola3",4,4,4,"Bola3"
"St6gal1",1,1,1,"St6gal1"
"Ppp1r10",5,5,5,"Ppp1r10"
"Epm2aip1",2,2,2,"Epm2aip1"
"Mpi",3,3,3,"Mpi"
"C85492",3,3,3,"C85492"
"Rnf219",4,4,4,"Rnf219"
"Rars",4,4,4,"Rars"
"Dus1l",4,4,4,"Dus1l"
"Slc36a3",1,1,1,"Slc36a3"
"Snx6",3,3,3,"Snx6"
"BC020002",4,4,4,"BC020002"
"4931406P16Rik",5,5,5,"4931406P16Rik"
"Wdr59",3,3,3,"Wdr59"
"Tnrc6b",2,2,2,"Tnrc6b"
"Zfp263",2,2,2,"Zfp263"
"Imp3",5,5,5,"Imp3"
"Anln.1",3,3,3,"Anln.1"
"Dscr2",4,4,4,"Dscr2"
"Ptpn9",1,1,1,"Ptpn9"
"B230380D07Rik",1,1,1,"B230380D07Rik"
"Nup160",4,4,4,"Nup160"
"Zfp473",3,3,3,"Zfp473"
"Rab19",1,1,1,"Rab19"
"Ppp5c",4,4,4,"Ppp5c"
"Hist4h4",1,1,1,"Hist4h4"
"Spats1",3,3,3,"Spats1"
"Slc2a8",3,3,3,"Slc2a8"
"Lrpprc",4,4,4,"Lrpprc"
"Nudt19",4,4,4,"Nudt19"
"Copz2.2",1,1,1,"Copz2.2"
"Axin2",2,2,2,"Axin2"
"Mapk13.1",1,1,1,"Mapk13.1"
"Cd6.2",5,5,5,"Cd6.2"
"Phf10.1",3,3,3,"Phf10.1"
"Rnf113a2",3,3,3,"Rnf113a2"
